item_name:string,description:text,price:float,header:string,menu_id:int
Beef Ramen,"Comes sliced rid eye beef, onion, corn, egg(H) and kikurage mushrooms.",13.95 ,Chef Recommendation,1
Vegetables Ramen,"Sweet corn, seasoned mix veggie, seaweed, onion, tofu, wakame seaweed and mushroom.",13.95 ,Chef Recommendation,1
Seafood Combo Ramen,"Topping; 1/2 shell scallops, prawns, egg, fish, shrimps, tempura shrimps, 1/2 soft shell crab, crab meat stick, mussel, snow crab meat, mushroom, wakame, seaweed and calamari.",12.95 ,Chef Recommendation,1
Chashu Rice Bowl,Chopped pork belly over rice.,10.95 ,Rice Bowl,1
Gyu Don Rice Bowl,Sliced rib eye beef with onion.,13.95 ,Rice Bowl,1
Steamed Rice,"Includes Muso tofu soup & house salad & steamed rice, choose bellow items.",2.50 ,Rice Bowl,1
Pento Box,Crispy poke &onion.egg,23.90 ,Rice Bowl,1
Snow Crab Tonkotsu,"Topped with deep fried soft shell crab 1/2, snow crab meats, 1 pieces quail egg , chicken gravy, 1/2 flavored egg and seasonal vegetables.",13.95 ,House Specialty Ramen,1
Snow Crab Hakata Tonkotsu,"Topped with deep fried soft shell crab 1/2, snow crab meats, 1 pieces quail egg, chicken gravy, 1/2 flavored egg and seasonal vegetables. Rich and creamy lobster pork flavor with roasted pork. Pork shoulder meat. Kikurage mushrooms.",14.95 ,House Specialty Ramen,1
Original Tonkostu Ramen,"Lobster pork flavor with roasted pork, pork shoulder meat,pork belly meat .half flavored egg and kikurage mushrooms.seasonal vegetables",13.95 ,House Specialty Ramen,1
Lobster Black Garlic Tonkostu Ramen,Pork flavor with roasted pork and pork shoulder meat and pork belly meat and half flavored egg & seasonal vegetables,13.95 ,House Specialty Ramen,1
Lobster Red-Chili Oil Tontasku Ramen,"Flavor with roast pork and pork shoulder meat, pork belly meat, half flavored egg &seasonal vegetables",13.95 ,House Specialty Ramen,1
Shoyu Ramen,Lobster soy sauce flavor &pork.half flavored egg.bamboo shoots & pork belly &vegetables,13.95 ,House Specialty Ramen,1
Miso Ramen,Lobster miso flavor with roasted pork .half deep fried soft shell crab &half flavored egg and corn.&seasonal vegetables,13.95 ,House Specialty Ramen,1
Spicy Pork Combo Maze Soba,Thick noodle without soup. Spicy.,11.00 ,Maze Soba,1
Seafood Combo Maze Soba,Thick noodle without soup.,11.00 ,Maze Soba,1
Chicken Teriyaki,Comes with rice.,10.95 ,A La Carte,1
Tonkatsu,Comes with rice.,11.95 ,A La Carte,1
2 Pieces Saba Shioyaki,Comes with rice.,11.95 ,A La Carte,1
Chicken Katsu,Comes with rice.,11.95 ,A La Carte,1
House Special Fried Rice,"Served with shredded cabbage, green onion and onion.",9.50 ,Special Fried Rice Dishes,1
Spicy Kimchi and Beef Fried Rice,"Served with shredded cabbage, green onion and onion.",9.50 ,Special Fried Rice Dishes,1
Unagi Fried Rice with Teriyaki Sauce,"Served with egg, shredded cabbage, green onion and onion.",14.95 ,Special Fried Rice Dishes,1
Teriyaki Chicken Fried Rice,"Served with shredded cabbage, green onion and onion.",9.25 ,Special Fried Rice Dishes,1
Chicken Teriyaki Don,Special rice bowl.,7.95 ,Donburi,1
Unagi Don,Special rice bowl.,13.95 ,Donburi,1
Saba Shioyaki Don,Special rice bowl.,8.75 ,Donburi,1
Gyudon,Special rice bowl.,9.50 ,Donburi,1
Stir Fried Beef Don,Special rice bowl.,9.50 ,Donburi,1
Katsu Egg Don,Special rice bowl.,9.50 ,Donburi,1
Ribeye Teriyaki Don,Special rice bowl.,11.95 ,Donburi,1
Katsu Curry Rice,Special rice bowl.,9.50 ,Donburi,1
Curry Chicken Rice,Special rice bowl.,9.50 ,Donburi,1
Ebi Curry Rice,Special rice bowl.,9.50 ,Donburi,1
#1 Choose One Meat,"Comes with your choice of smoked meat, choice of two sides or fixin's, pickles, and a warm buttery Parker house roll.",17.95 ,Smoked Meat Plate,2
#2 Choose Two Meats,"Best seller! Comes with your choice of smoked meat, choice of two sides or fixin's, pickles, and a warm buttery Parker house roll.",23.95 ,Smoked Meat Plate,2
#3 Choose Three Meats,"Comes with your choice of smoked meat, choice of two sides or fixin's, pickles, and a warm buttery Parker house roll.",29.95 ,Smoked Meat Plate,2
#5 Smoked Rib Plate,"Three quarters of a pound of ribs with your choice of two sides or fixin's, pickles, and a warm buttery Parker house roll.",23.95 ,Smoked Meat Plate,2
Bone In Smoked Chicken,"Comes with pickles, sliced sweet Vidalia onion, and white bread.",11.95 ,Smoked Meat by the Pound,2
Brisket by the Pound,"Comes with pickles, sliced sweet Vidalia onion, and white bread.",11.99 ,Smoked Meat by the Pound,2
Pulled Smoked Chicken,"Comes with pickles, sliced sweet Vidalia onion, and white bread.",7.79 ,Smoked Meat by the Pound,2
Pulled Pork,"Comes with pickles, sliced sweet Vidalia onion, and white bread.",7.79 ,Smoked Meat by the Pound,2
Bacon Beef Cheddar Link,"Comes with pickles, sliced sweet Vidalia onion, and white bread.",8.99 ,Smoked Meat by the Pound,2
Hot Link,"Comes with pickles, sliced sweet Vidalia onion, and white bread.",8.99 ,Smoked Meat by the Pound,2
Single Best Damn Grass Fed Cheeseburger,"Our burgers are prepared medium rare (if you want it with no-pink, select well done)",15.55 ,Sandwiches & More,2
Double Best Damn Grass Fed Cheeseburger,"Our burgers are prepared medium rare (if you want it with no-pink, select well done)",20.70 ,Sandwiches & More,2
Brisket Sandwich,Dressed with our Sweet & Thick Sauce.,17.95 ,Sandwiches & More,2
Pulled Chicken Sandwich,Dressed with our House White sauce.,15.55 ,Sandwiches & More,2
Pulled Pork Sandwich,Dressed with our Mustard & Vinegar sauce.,15.55 ,Sandwiches & More,2
Fried Chicken Sandwich,Dressed with our House White sauce.,15.55 ,Sandwiches & More,2
Bacon Beef Cheddar Link Sandwich,Dressed with our Mustard & Vinegar sauce.,15.55 ,Sandwiches & More,2
Hot Link Sandwich,Dressed with our Mustard & Vinegar sauce.,15.55 ,Sandwiches & More,2
Grilled Cheese,"White bread and cheddar, served with pickles.",8.35 ,Sandwiches & More,2
Jumbo Chicken Strips,3 pieces of fried chicken strips with cole slaw,10.75 ,Sandwiches & More,2
4505 Hot Dog,"Bacon studded dog on a bun, served with pickles.",9.55 ,Sandwiches & More,2
Big Mac,"Our burgers are prepared medium rare (if you want it with no-pink, select well done)",25.15 ,Sandwiches & More,2
Impossible Single Cheeseburger,"Quarter pound meat substitute patty with lettuce, onion, gruyere, and secret sauce on a buttery, griddled sesame, and scallion bun.",17.95 ,Sandwiches & More,2
Impossible Double Cheeseburger,"2 quarter pound meat substitute patties with lettuce, onion, gruyere, and secret sauce on a buttery, griddled sesame, and scallion bun.",23.95 ,Sandwiches & More,2
Classic Caesar,Classic Caesar Salad,14.35 ,Large Salads,2
Cobb Salad,"4505 bacon, avocado, egg, blue cheese, red onion, and honey mustard vinaigrette.",17.95 ,Large Salads,2
Organic Green Salad,With farmers market veggies and balsamic vinaigrette.,13.15 ,Large Salads,2
Brisket Fries,"Brisket and cheese melted together over crispy fries topped with salsa verde, pickled onions and house white bbq sauce.",15.55 ,Specials,2
Wings,Served with celery and blue cheese,13.15 ,Specials,2
Burnt End Sando,"Smoked brisket braised in BBQ sauce, with BBQ sauce, coleslaw and pickles.",15.55 ,Specials,2
Caesar'd Brussels Sprouts,"Fried Brussels Sprouts tossed in caesar with bacon, garlic, bread crumbs and Parmesan cheese.",14.35 ,Specials,2
Cole Slaw,"Red chili broth, smoked meat, & hominy.",7.15 ,Sides,2
Posole,Classic baked beans with smoked pork spare rib meat,7.15 ,Sides,2
Baked Beans,French fries fried in beef tallow.,7.15 ,Sides,2
Potato Salad,1 buttery Parker House Roll,7.15 ,Sides,2
French Fries,1 extra sandwich bun,7.15 ,Sides,2
Extra Parker House Roll,1 extra hamburger bun,2.35 ,Sides,2
Frankaroni,House specialty! Crispy fried mac & cheese with hot dog inside.,8.35 ,Fixin's,2
Spicy Fries,Chimichurri sauce & lemon parsley aioli.,8.35 ,Fixin's,2
Collard Greens,Collard greens braised with smoked pork and onions,8.35 ,Fixin's,2
4 oz Sweet and Thick,Great on everything!,4.35 ,Sauces,2
4 oz Mustard and Vinegar,A refreshing tang with a kick of cayenne to balance our delicious pork.,4.35 ,Sauces,2
4 oz House White,Perfect with smoked chicken.,4.35 ,Sauces,2
4 oz Pickles,house-made Bread & Butter pickles,4.35 ,Sauces,2
Spicy Fries Sauce,A combination of our spicy chimichurri and our lemon parsley aioli,1.20 ,Sauces,2
Squeeze Bottle Set With Sauces,"You get three 12 oz labeled squeeze bottles that includes our Sweet & Thick, Carolina, and House White BBQ sauces.",24.00 ,Sauces,2
Fresh Baked Chocolate Chip Cookie,1 fresh baked chocolate chip cookie,3.00 ,Desserts,2
Fresh Baked Peanut Butter Cookie,1 fresh baked peanut butter cookie,3.00 ,Desserts,2
Coca Cola,House made peach lemonade,4.80 ,N/A Beverages,2
Root Beer,House made sweet tea with mint,4.80 ,N/A Beverages,2
Golden State Cider,Almanac Hoppy Vibes Pilsner,10.20 ,Beer,2
Temescal Pilsner Can,Sunshine & Opportunity Sour from Almanac Brewing,9.55 ,Beer,2
Bare Bottle Sour,1 bottle of Lone Star,10.75 ,Beer,2
Delivery Red,1 bottle of Uphold Zinfandel,27.60 ,Wine,2
Delivery White,1 bottle of Liwa Sauvignon Blanc,28.80 ,Wine,2
Delivery Rose,1 bottle of Uphold Rose,27.60 ,Wine,2
Bellini,"white peach purée, prosecco",12.00 ,Snacks,3
Bloody Mary,"vodka or gin, house bloody mary mix, splash of lemon juice",13.00 ,Snacks,3
Negroni Sbagliato,"Campari, sweet vermouth, prosecco",12.00 ,Snacks,3
Warm Mixed Olives,"citrus, garlic confit, herbs",6.00 ,Fruits de Mer,3
Mixed Nuts,"almonds, candied walnuts",6.00 ,Fruits de Mer,3
Aged Gouda,"goat's milk cheese, house-made nectarine preserves",9.00 ,Fruits de Mer,3
Pommes Frites,"dijonnaise, Heinz, beef tallow",8.00 ,Fruits de Mer,3
Nueske's Bacon,"maple, cracked black pepper",9.00 ,Fruits de Mer,3
French Onion Soup,"gruyère, crouton",14.00 ,Sandwiches                                        add fries or side salad +5.,3
Vegan Tomato Soup,"cherry tomatoes, basil, oregano, lemon oil",14.00 ,Sandwiches                                        add fries or side salad +5.,3
Farmer's Market Salad,"alfieri apricot, spiced labneh, Japanese cucumber, charred dates, green almond, crouton",16.00 ,Sandwiches                                        add fries or side salad +5.,3
Summer Green Salad,"radish, cherry tomato, baby carrot, serpent cucumber, white balsamic vinaigrette",15.00 ,Sandwiches                                        add fries or side salad +5.,3
Salmon Tartare,"avocado creme fraiche, citrus-soy vinaigrette, poppy seed crostini",18.00 ,Sandwiches                                        add fries or side salad +5.,3
Steak Tartare,"quail egg, shallot marmalade, dijon, grilled Acme levain",20.00 ,Sandwiches                                        add fries or side salad +5.,3
Vegetarian Sandwich,"grilled maitake mushroom, mozzarella, pistou",14.00 ,ENTREES,3
Trout-Salad Sandwich,"smoked trout, house dill pickle, shredded romaine",14.00 ,ENTREES,3
Croque Monsieur,"Bayonne ham, gruyere, Dijon",16.00 ,ENTREES,3
Classic Chicken Caesar,"romaine, Agostino Recca anchovies, levain crouton, fried egg",20.00 ,,3
Seasonal Quiche,"grilled spring onion, gruyère, asparagus, chicory salad",15.00 ,,3
Blueberry Lemon Poppyseed Buckwheat Crepes,poppyseed crumble,18.00 ,,3
Bay Area Breakfast,"soft scrambled eggs, bacon, brioche toast, seasonal vegetables",20.00 ,,3
Six-Cheese French Omelette,"heirloom tomato, basil, frisee, balsamic, potato crumb",20.00 ,,3
Pepita Crusted Ora King Salmon,"curried summer squash coulis, grilled toy box squash, pickled squash ribbon",36.00 ,,3
"Mango Chicken, Beef, or Tofu*","Sautéed chicken, beef, or tofu with fresh mango",10.50 ,House Specials,4
Mango Prawns*,Chicken with Belgian endive and sunflower seeds,11.75 ,House Specials,4
Hunan Prawns*,"Prawns with vegetables, in spicy curry and coconut milk",11.75 ,House Specials,4
Star Chicken,"Smoked pork, leek, cabbage, green and red chili peppers",10.50 ,House Specials,4
Coconut Curry Prawns*,"Prawns, callops, fish and clams with garden vegetables",11.75 ,House Specials,4
Hunan Smoked Pork*,"Chicken, onion, carrots, squash topped with sesame seeds",10.50 ,House Specials,4
Walnut Prawns,"Chicken, shrimp, fresh basil and chili peppers",11.75 ,House Specials,4
Seafood Delight,Boneless chicken with pine nuts in our special sauce,12.95 ,House Specials,4
House Special Prawns*,Spring Lamb with hot sauce,11.95 ,House Specials,4
Scallops with Szechwan Sauce*,"Fresh prawns, snow peaces and pine nuts",12.75 ,House Specials,4
Spicy Chicken with Fresh Basil*,Orange glazed beef or chicken with hunan peppercorn,10.50 ,House Specials,4
Sesame Chicken,Orange glazed prawns with hunan peppercorn,10.50 ,House Specials,4
Pot Stickers (6),"Egg Rolls, Crab Meat Rangoon, Pot Stickers, Drums of Heaven",7.25 ,Appetizers,4
2 Eggs Any Style,Comes with homemade hash brown and choice of toast.,8.95 ,Breakfast,5
Hamburger Patty and Eggs,Comes with homemade hash brown and choice of toast.,12.95 ,Breakfast,5
Hot Link Sausage and Eggs,Comes with homemade hash brown and choice of toast.,12.95 ,Breakfast,5
Pork Chops and Eggs,Comes with homemade hash brown and choice of toast.,17.95 ,Breakfast,5
Tex-Mex Potatoes,"Topped with melted cheddar, tomatoes, avocado and onion.",10.95 ,Breakfast,5
Chicken Fried Steak,"Come with country gravy, 2 eggs any style, homemade hash brown and toast.",12.95 ,Breakfast,5
Biscuit and Gravy,2 homemade biscuits smothered in country gravy served with 2 eggs and homemade hash brown.,10.95 ,Breakfast,5
Corned Beef Hash and Eggs,"Fresh corned beef hash, 2 eggs any style, homemade hash brown and choice of toast.",12.95 ,Breakfast,5
Pancakes Delight,"4 mini pancakes, choice of ham, sausage or bacon and 2 eggs any style and homemade hash brown.",14.95 ,Breakfast,5
Egg Benedict,Served with homemade hash brown.,14.95 ,Breakfast,5
Eggs Florentine,Served with homemade hash brown.,14.95 ,Breakfast,5
Cheese Omelette,"Comes with ham, sausage and bacon.",9.95 ,Breakfast Omelettes,5
Meat Lover Omelette,"Mushrooms, spinach, tomatoes, bell pepper and pepper jack.",15.95 ,Breakfast Omelettes,5
Veggie Omelette,"Ham, bell pepper, onions and cheddar.",12.95 ,Breakfast Omelettes,5
Denver Omelette,"Shrimps, cheese, mushrooms and onion.",12.95 ,Breakfast Omelettes,5
Shrimps and Cheese Omelette,"Crab meat with cheese, mushrooms and onion.",17.95 ,Breakfast Omelettes,5
Crab Meat and Cheese Omelette,"Grilled chicken, spinach and cheddar cheese.",19.95 ,Breakfast Omelettes,5
Chicken Omelette,"Fresh spinach, tomatoes, onions, pesto and feta.",13.95 ,Breakfast Omelettes,5
Sicilian Style Omelette,"Spinach, bacon, onion and cheddar.",12.95 ,Breakfast Omelettes,5
Mediterranean Style Scrambler,"Spinach, avocado, tomatoes and feta cheese.",12.95 ,Breakfast Scramblers,5
Original Jo's Special Scrambler,"All natural ground beef, mushrooms, spinach, onion and cheddar cheese.",12.95 ,Breakfast Scramblers,5
Al's Big Scramble,"3 eggs scrambled with ground chuck, bell peppers, mushrooms, onion, tomatoes and cheddar cheese.",13.95 ,Breakfast Scramblers,5
California Scrambler,Served with homemade hash brown and choice of toast.,9.95 ,Breakfast Scramblers,5
House Salad,"Mixed greens, balsamic vinaigrette and croutons.",7.95 ,Lunch Salad,5
Spinach Salad,"Baby spinach, red onions, bacon, feta and balsamic vinaigrette.",9.95 ,Lunch Salad,5
California Cheese Steak,"Thinly sliced grilled steak covered with sauteed onion, bell pepper and provolone cheese on sourdough.",12.95 ,Lunch Sandwiches,5
Al's Super Club,"Sliced turkey with avocado, bacon, Swiss cheese, lettuce, tomatoes and mayonnaise on choice of bread.",12.95 ,Lunch Sandwiches,5
B&T Sandwich,"Served with bacon, lettuce and tomato.",10.95 ,Lunch Sandwiches,5
Fish and Chips Sandwich,Battered cod fried crisp and served with tartar sauce.,12.95 ,Lunch Sandwiches,5
Classic Burger,"All natural ground Angus beef, lettuce, tomatoes, onion and pickle.",10.95 ,Lunch Burgers,5
Bacon Cheeseburger,"Choice of cheese with bacon, lettuce, tomatoes, onion and pickle.",13.95 ,Lunch Burgers,5
Double Patty Cheeseburger,"Choice of cheese with lettuce, tomatoes, onion and pickle.",16.95 ,Lunch Burgers,5
Sunrise Burger,"All natural ground Angus beef, fried egg, bacon, cheese, lettuce, tomatoes, onion and pickle.",14.95 ,Lunch Burgers,5
Garden Burger,"Veggie patty, lettuce, tomatoes, red onions, pickles and pesto mayonnaise.",10.95 ,Lunch Burgers,5
Pork Dumpling with Cabbage,12 pieces.,8.95 ,Evening Menu,5
Pork Dumpling with Hot Chili Oil,6 pieces.,8.95 ,Evening Menu,5
Steamed Pork Pot Stickers,6 pieces.,8.95 ,Evening Menu,5
Steamed Chicken Pot Stickers,6 pieces.,8.95 ,Evening Menu,5
Steamed Vegetables Pot Stickers,6 pieces.,8.95 ,Evening Menu,5
Fried Pork Pot Stickers,6 pieces.,8.95 ,Evening Menu,5
Fried Chicken Pot Stickers,6 pieces.,8.95 ,Evening Menu,5
Fried Vegetable Pot Stickers,3 pieces.,8.95 ,Evening Menu,5
Pork Buns,4 pieces.,8.95 ,Evening Menu,5
Vegetable Egg Rolls,Served 3-4 people.,6.50 ,Evening Menu,5
Onion Pan Cakes,Served 3-4 people.,6.50 ,Evening Menu,5
Coffee,Fresh squeezed.,2.50 ,Beverages,5
Mimosa,Must be 21 to purchase.,8.00 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
Import Beers,Must be 21 to purchase.,5.00 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
Champagne,Must be 21 to purchase.,22.00 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
IPA Bottle Beer,Must be 21 to purchase.,5.50 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
Heineken Bottle Beer,Must be 21 to purchase.,5.50 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
Corona Bottle Beer,Must be 21 to purchase.,5.50 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
Modelo Bottle Beer,Must be 21 to purchase.,5.50 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
Sculpin IPA Draft Beer,Must be 21 to purchase.,8.00 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
Hazy IPA Sierra Draft Beer,Must be 21 to purchase.,8.00 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
Heretic Draft Beer,Must be 21 to purchase.,8.00 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
Anchor Steam Draft Beer,Must be 21 to purchase.,8.00 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
Modelo Light Draft Beer,Must be 21 to purchase.,7.00 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
Modelo Dark Draft Beer,Must be 21 to purchase.,7.00 ,Evening Alcoholic Beverages (Must be 21 to Purchase),5
Agedashi Tofu,Deep fried tofu with dried bonito flake,7.00 ,Appetizer,6
Chicken Kara-age,Japanese style fried chicken,7.50 ,Appetizer,6
Edamame,Boiled organic soy beans,3.50 ,Appetizer,6
Hamachi Kama,Grilled yellow tail fish neck,13.50 ,Appetizer,6
Tempura,Deep fried 3 pieces shrimp and assorted vegetables,9.00 ,Appetizer,6
Shrimp Tempura,5 pieces deep fried shrimps,9.00 ,Appetizer,6
Yasai Tempura,Deep fried assorted vegetables,7.50 ,Appetizer,6
Soft Shell Crab,Deep fried whole soft shell crab with ponzu sauce,9.50 ,Appetizer,6
Whole Squid,Grilled whole squid,12.50 ,Appetizer,6
Yakitory,Grilled 2 prices chicken skewer,7.00 ,Appetizer,6
Gyoza,Pan fried pot stickers,7.50 ,Appetizer,6
Albacore Tataki,"Seared white tuna with green salad, seaweed salad, avocado and cucumber.",12.00 ,Appetizer from Sushi Bar,6
Hamachi Jalapeno,"Yellow tail served with tobiko, jalapeno and ponzu sauce.",13.00 ,Appetizer from Sushi Bar,6
Tai Carpaccio,"Thinly sliced red snapper sashimi topped with tobiko, truffle oil and ponzu sauce.",19.00 ,Appetizer from Sushi Bar,6
Tuna Tataki,"Seared tuna with green salad, seaweed salad, avocado and cucumber.",15.00 ,Appetizer from Sushi Bar,6
Spicy Seafood Mixture,Mixed assorted sashimi with truffle oil and spicy sauce.,23.00 ,Appetizer from Sushi Bar,6
Miso Soup,Soup that is made from miso paste.,2.50 ,Soup and Salad,6
Albacore Su,"Seared albacore, seaweed and cucumber with ponzu sauce.",8.50 ,Soup and Salad,6
Ebi Su,"Shrimp, seaweed and cucumber with ponzu sauce.",8.50 ,Soup and Salad,6
Saba Su,"Mackerel, seaweed and cucumber with ponzu sauce.",8.50 ,Soup and Salad,6
Tako Su,"Octopus, seaweed and cucumber with ponzu sauce.",8.50 ,Soup and Salad,6
Mixed Fish Salad,"Mixed fish over green salad, with house special sauce",12.00 ,Soup and Salad,6
Poki Salad,"Chopped tuna with green salad, seaweed salad, avocado and cucumber.",11.00 ,Soup and Salad,6
House Green Salad,Fresh salad with a variety of green vegetables typically served on a bed of lettuce.,3.50 ,Soup and Salad,6
Wakame Salad,Seaweed salad.,6.00 ,Soup and Salad,6
Wakame Su,Seaweed and cucumber salad.,6.00 ,Soup and Salad,6
Albacorre Sashimi,Piece of fish.,12.00 ,Sashimi,6
Maguro Sashimi,Piece of fish.,13.00 ,Sashimi,6
Sake Sashimi,Piece of fish.,12.00 ,Sashimi,6
Saba Sashimi,Piece of fish.,11.00 ,Sashimi,6
Hamachi Sashimi,Piece of fish.,13.00 ,Sashimi,6
Tai Sashimi,Piece of fish.,13.00 ,Sashimi,6
Tako Sashimi,Piece of fish.,13.00 ,Sashimi,6
2 Piece Albacore Nigiri Sushi,White tuna.,7.00 ,Nigiri Sushi,6
2 Piece Albacore Toro Nigiri Sushi,Seaweed wrapped around rice and filling.,9.50 ,Nigiri Sushi,6
2 Piece Maguro Nigiri Sushi,Tuna.,7.50 ,Nigiri Sushi,6
2 Piece Ama Ebi Nigiri Sushi,Sweet shrimp with deep fried shrimp heads.,15.50 ,Nigiri Sushi,6
2 Piece Ebi Nigiri Sushi,Cooked shrimp.,6.50 ,Nigiri Sushi,6
2 Piece Hamachi Nigiri Sushi,Yellow tail.,7.50 ,Nigiri Sushi,6
2 Piece Hotategai Nigiri Sushi,Scallop.,8.50 ,Nigiri Sushi,6
2 Piece Ika Nigiri Sushi,Squid.,7.00 ,Nigiri Sushi,6
2 Piece Ikura Nigiri Sushi,Salmon roe.,7.50 ,Nigiri Sushi,6
2 Piece Kani Nigiri Sushi,Seaweed wrapped around rice and filling.,6.50 ,Nigiri Sushi,6
2 Piece Saba Nigiri Sushi,Mackerel.,6.50 ,Nigiri Sushi,6
2 Piece Sake Nigiri Sushi,Fresh salmon.,7.00 ,Nigiri Sushi,6
2 Piece Tako Nigiri Sushi,Octopus.,7.50 ,Nigiri Sushi,6
2 Piece Tamago Nigiri Sushi,Egg omelette.,6.50 ,Nigiri Sushi,6
2 Piece Tai Nigiri Sushi,Red snapper.,8.50 ,Nigiri Sushi,6
2 Piece Tobiko Nigiri Sushi,Flying fish roe.,7.00 ,Nigiri Sushi,6
2 Piece Unagi Nigiri Sushi,Water eel.,7.50 ,Nigiri Sushi,6
2 piece Blue Fin Toro Nigiri Sushi,Medium fatty tuna,14.00 ,Nigiri Sushi,6
2 peice O-Toro Nigiri Sushi,Fatty tuna,16.00 ,Nigiri Sushi,6
Chirashi,Assorted sashimi over sushi rice served with miso soup,25.00 ,Sushi and Sashimi Combination,6
Sashimi Regular,10pcs chef choice sashimi served with sushi rice,25.00 ,Sushi and Sashimi Combination,6
Sashimi Medium,20pcs chef choice sashimi served with sushi rice,45.00 ,Sushi and Sashimi Combination,6
Sushi Regular,"7pcs chef choice nigiri sushi with California roll, served with miso soup",25.00 ,Sushi and Sashimi Combination,6
Sushi Deluxe,"9pcs chef choice sushi nigiri with Rockn Roll, served with miso soup",30.00 ,Sushi and Sashimi Combination,6
Lovers Boat,"12pcs sashimi, 8pcs nigiri sushi, California roll, and spicy tuna roll",55.00 ,Sushi and Sashimi Combination,6
Avocado Maki,6pc avocado roll,5.50 ,Vegetarian Rolls,6
Kappa Maki,6pc Cucumber roll,5.50 ,Vegetarian Rolls,6
Sweet Heart Roll,"Deep fried assorted vegetable inside, wrapped in soy paper.",15.00 ,Vegetarian Rolls,6
Sweet Potato Roll,Tempura sweet potato inside.,7.50 ,Vegetarian Rolls,6
Vegetable Tempura Roll,Assorted vegetable tempura inside.,9.50 ,Vegetarian Rolls,6
Yasai Maki,Assorted vegetable inside.,7.50 ,Vegetarian Rolls,6
Alaska Roll,"Fresh salmon, avocado & cucumbers inside",8.50 ,Makimono (6pcs per Roll),6
California Roll,"Crab meat, avocado inside (real crab add $2).",7.00 ,Makimono (6pcs per Roll),6
Deep Fried California Roll,Crab meat and avocado inside,9.00 ,Makimono (6pcs per Roll),6
Dynasty Spider Roll,"Snow crab and soft shell crab inside, wrapped with seaweed paper, with extra soft shell crab legs on the side",15.50 ,Makimono (6pcs per Roll),6
Grass Chopper,"Hamachi and cucumber inside, topped with seaweed salad",11.00 ,Makimono (6pcs per Roll),6
Mix-It-Up Roll,"Tuna, salmon, hamachi, tobiko, and avocado inside, wrapped in seaweed paper, lightly fried with spicy sauce",11.00 ,Makimono (6pcs per Roll),6
Negi Hamachi,Yellow tail with green onion inside,7.00 ,Makimono (6pcs per Roll),6
Negi Toro,Fatty tuna with green onion inside,8.50 ,Makimono (6pcs per Roll),6
New York Roll,"Cooked shrimp, avocado, and cucumber inside",8.50 ,Makimono (6pcs per Roll),6
Philadelphia Roll,Fresh salmon and cream cheese inside,8.50 ,Makimono (6pcs per Roll),6
Rockn Roll,Fresh water eel and avocado inside,8.50 ,Makimono (6pcs per Roll),6
